year,hour,temp
1957,00,-0642
1957,01,-0628
1957,02,-0620
1957,03,-0614
1957,04,-0614
1957,05,-0611
1957,06,-0603
1957,07,-0606
1957,08,-0594
1957,09,-0592
1957,10,-0589
1957,11,-0589
1957,12,-0586
1957,13,-0583
1957,14,-0578
1957,15,-0564
1957,16,-0567
1957,17,-0561
1957,18,-0559
1957,19,-0561
1957,20,-0559
1957,21,-0553
1957,22,-0559
1957,23,-0553
1958,00,-0553
1958,01,-0553
1958,02,-0542
1958,03,-0547
1958,04,-0542
1958,05,-0514
1958,06,-0497
1958,07,-0486
1958,08,-0481
1958,09,-0486
1958,10,-0514
1958,11,-0531
1958,12,-0520
1958,13,-0531
1958,14,-0525
1958,15,-0531
1958,16,-0514
1958,17,-0520
1958,18,-0520
1958,19,-0514
1958,20,-0520
1958,21,-0514
1958,22,-0503
1958,23,-0497
1959,00,-0625
1959,01,-0608
1959,02,-0642
1959,03,-0647
1959,04,-0642
1959,05,-0658
1959,06,-0647
1959,07,-0653
1959,08,-0653
1959,09,-0647
1959,10,-0631
1959,11,-0647
1959,12,-0653
1959,13,-0664
1959,14,-0664
1959,15,-0681
1959,16,-0670
1959,17,-0675
1959,18,-0675
1959,19,-0664
1959,20,-0681
1959,21,-0653
1959,22,-0664
1959,23,-0664
1960,00,-0583
1960,01,-0583
1960,02,-0583
1960,03,-0583
1960,04,-0583
1960,05,-0583
1960,06,-0583
1960,07,-0583
1960,08,-0578
1960,09,-0578
1960,10,-0572
1960,11,-0567
1960,12,-0567
1960,13,-0567
1960,14,-0567
1960,15,-0567
1960,16,-0572
1960,17,-0567
1960,18,-0567
1960,19,-0572
1960,20,-0572
1960,21,-0578
1960,22,-0583
1960,23,-0583
1961,00,-0475
1961,03,-0481
1961,06,-0475
1961,09,-0486
1961,12,-0470
1961,15,-0470
1961,18,-0464
1961,21,-0453
1962,00,-0625
1962,03,-0631
1962,06,-0620
1962,09,-0631
1962,12,-0636
1962,15,-0620
1962,18,-0625
1962,21,-0658
1963,00,-0611
1963,03,-0622
1963,06,-0633
1963,09,-0633
1963,12,-0622
1963,15,-0589
1963,18,-0567
1963,21,-0561
1964,00,-0717
1964,03,-0711
1964,06,-0706
1964,09,-0683
1964,12,-0678
1964,15,-0672
1964,18,-0683
1964,21,-0667
1965,00,-0734
1965,03,-0734
1965,06,-0717
1965,09,-0728
1965,12,-0722
1965,15,-0717
1965,18,-0717
1965,21,-0717
1966,00,-0514
1966,06,-0561
1966,12,-0572
1966,18,-0578
1967,00,-0583
1967,06,-0578
1967,12,-0617
1967,18,-0661
1968,00,-0767
1968,06,-0767
1968,12,-0767
1968,18,-0761
1969,00,-0739
1969,06,-0672
1969,12,-0617
1969,18,-0561
1970,00,-0386
1970,06,-0386
1970,12,-0409
1970,18,-0436
1971,00,-0620
1971,06,-0614
1971,12,-0614
1971,18,-0625
1972,00,-0525
1972,06,-0531
1972,12,-0531
1972,18,-0536
1973,00,-0597
1973,01,-0597
1973,02,-0586
1973,03,-0575
1973,04,-0570
1973,05,-0570
1973,06,-0559
1973,07,-0547
1973,08,-0542
1973,09,-0536
1973,10,-0531
1973,11,-0531
1973,12,-0536
1973,13,-0542
1973,14,-0536
1973,15,-0542
1973,16,-0542
1973,17,-0547
1973,18,-0564
1973,19,-0581
1973,20,-0570
1973,21,-0581
1973,22,-0592
1973,23,-0581
1974,00,-0481
1974,06,-0542
1974,12,-0564
1974,18,-0520
1975,00,-0708
1975,06,-0708
1975,12,-0692
1975,18,-0642
1976,00,-0581
1976,06,-0592
1976,12,-0564
1976,18,-0514
1977,00,-0721
1977,06,-0655
1977,12,-0644
1977,18,-0622
1978,00,-0422
1978,06,-0383
1978,12,-0406
1978,18,-0439
1979,00,-0450
1979,06,-0430
1979,12,-0440
1979,18,-0460
1980,00,-0630
1980,06,-0639
1980,12,-0650
1980,18,-0650
1981,00,-0489
1981,06,-0510
1981,12,-0544
1981,18,-0560
1982,00,-0689
1982,06,-0700
1982,12,-0700
1982,18,-0689
1983,00,-0689
1983,06,-0683
1983,12,-0689
1983,18,-0683
1984,00,-0577
1984,03,-0583
1984,06,-0583
1984,09,-0610
1984,12,-0605
1984,15,-0605
1984,18,-0605
1984,21,-0616
1985,00,-0683
1985,03,-0683
1985,06,-0683
1985,09,-0699
1985,12,-0694
1985,15,-0694
1985,18,-0688
1985,21,-0683
1986,00,-0699
1986,03,-0688
1986,06,-0683
1986,09,-0683
1986,12,-0688
1986,15,-0677
1986,18,-0655
1986,21,-0605
1991,00,-0683
1992,00,-0630
1992,06,-0616
1992,12,-0600
1992,18,-0610
1993,00,-0652
1993,06,-0613
1993,12,-0611
1993,18,-0651
1994,00,-0708
1996,00,-0649
1996,06,-0622
1996,18,-0627
1998,06,-0734
1998,12,-0737
1999,06,-0539
1999,12,-0533
1999,18,-0524
2005,00,-0586
2005,06,-0558
2005,12,-0525
2005,18,-0502
2006,06,-0580
2006,12,-0580
2006,18,-0620
2007,00,-0723
2007,06,-0687
2007,12,-0649
2007,18,-0641
2008,00,-0408
2008,06,-0397
2008,12,-0457
2008,18,-0484
2009,00,-0612
2009,06,-0606
2009,12,-0611
2009,18,-0608
2009,23,-0610
2010,00,-0618
2010,06,-0591
2010,12,-0582
2010,18,-0601
2011,00,-0662
2011,06,-0669
2011,12,-0669
2011,18,-0689
2012,00,-0570
2012,06,-0630
2012,12,-0619
2012,18,-0596
2014,00,-0584
2014,06,-0577
2014,12,-0599
2014,18,-0625
2015,00,-0607
2015,06,-0588
2015,12,-0575
2015,18,-0568
2016,00,-0678
2016,06,-0688
2016,12,-0678
2016,18,-0687
2017,00,-0556
2017,06,-0537
2017,12,-0540
2017,18,-0597
2018,00,-0662
2018,06,-0675
2018,12,-0668
2018,18,-0686
2019,00,-0494
2019,06,-0497
2019,12,-0493
2019,18,-0499
