place,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
Chicago,725300,94846,CHICAGO O'HARE INTERNATIONAL AIRPORT,US,IL,KORD,+41.995,-087.934,+0201.8,19461001,20190127
Houston,722430,12960,G BUSH INTERCONTINENTAL AP/HOUSTON AP,US,TX,KIAH,+29.980,-095.360,+0029.0,19730101,20190127
Los Angeles,722950,23174,LOS ANGELES INTERNATIONAL AIRPORT,US,CA,KLAX,+33.938,-118.389,+0029.6,19440101,20190127
New York City,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,US,NY,KJFK,+40.639,-073.762,+0003.4,19730101,20190127
Milwaukee,726400,14839,GENERAL MITCHELL INTERNATIONAL AP,US,WI,KMKE,+42.955,-087.904,+0204.2,19480101,20190127
Oklahoma City,723530,13967,WILL ROGERS WORLD AIRPORT,US,OK,KOKC,+35.389,-097.601,+0391.7,19411214,20190127
Phoenix,722780,23183,PHOENIX SKY HARBOR INTL AIRPORT,US,AZ,KPHX,+33.428,-112.004,+0337.4,19730101,20190127
Pittsburgh,725200,94823,PITTSBURGH INTERNATIONAL AIRPORT,US,PA,KPIT,+40.485,-080.214,+0366.7,19450201,20190128
San Francisco,724940,23234,SAN FRANCISCO INTERNATIONAL AIRPORT,US,CA,KSFO,+37.620,-122.365,+0002.4,19730101,20190127
Washington DC,724030,93738,WASHINGTON DULLES INTERNATIONAL AP,US,VA,KIAD,+38.935,-077.447,+0088.4,19730101,20190127
